3.220622099751466183e-01 1.107156161171895192e+00 1.516240204053318905e+02 2.518184692604080510e+00 2.847958736357710241e-01 1.014239761153632458e+00 2.848138624953069797e+00
3.220622098939857625e-01 1.107156157058893475e+00 1.516240192587095521e+02 2.518184747614393260e+00 2.847958733426657618e-01 1.014239750369617887e+00 2.848138687829515625e+00
3.220622095266969520e-01 1.107156121434558216e+00 1.516240162204913986e+02 2.518184994607846505e+00 2.847958698320868787e-01 1.014239683582486284e+00 2.848138994143575076e+00
3.220622061304920791e-01 1.107156037729089437e+00 1.516240129803935304e+02 2.518185394049901049e+00 2.847958591829952146e-01 1.014239549509618588e+00 2.848139514236099235e+00
3.220621966002467085e-01 1.107155893744647956e+00 1.516240093955132124e+02 2.518185960425163739e+00 2.847958377719481682e-01 1.014239334543443283e+00 2.848140273180637561e+00
3.220621791531754763e-01 1.107155689710601409e+00 1.516240052230077708e+02 2.518186677084381930e+00 2.847958034874618627e-01 1.014239038560394768e+00 2.848141258267130826e+00
3.220621532053794533e-01 1.107155438485575516e+00 1.516240002900287607e+02 2.518187491886428653e+00 2.847957560766196661e-01 1.014238678023246187e+00 2.848142407975104096e+00
3.220621190971439396e-01 1.107155156943040897e+00 1.516239943792859322e+02 2.518188352973889987e+00 2.847956965735704005e-01 1.014238274275559126e+00 2.848143657533966255e+00
3.220620735685911229e-01 1.107154829766481718e+00 1.516239866692502005e+02 2.518189314697197201e+00 2.847956199883242001e-01 1.014237804028681689e+00 2.848145088489110410e+00
3.220620100443701839e-01 1.107154430587732996e+00 1.516239758044244468e+02 2.518190457296461737e+00 2.847955165896743912e-01 1.014237228203554109e+00 2.848146829186469109e+00
3.220618745452366594e-01 1.107153715789461312e+00 1.516239523926048776e+02 2.518192468120307836e+00 2.847953063730205292e-01 1.014236197709998732e+00 2.848149967242989078e+00
3.220616841336394476e-01 1.107152881119501053e+00 1.516239147296410579e+02 2.518194886179295988e+00 2.847950223591779739e-01 1.014234979956236016e+00 2.848153813196317774e+00
3.220614264976844887e-01 1.107151976929862336e+00 1.516238635174372575e+02 2.518197678911215487e+00 2.847946661274939895e-01 1.014233687437664955e+00 2.848158213671877270e+00
3.220611088771669350e-01 1.107151101349449940e+00 1.516237979618169334e+02 2.518200790688715607e+00 2.847942629846296758e-01 1.014232481033610744e+00 2.848162923923221346e+00
3.220607318540512631e-01 1.107150278461821458e+00 1.516237117444455578e+02 2.518204402083207949e+00 2.847938215992689703e-01 1.014231398961397135e+00 2.848168067022955441e+00
3.220566508387994187e-01 1.107144342239017698e+00 1.516231498629836381e+02 2.518245881077678661e+00 2.847899824667110558e-01 1.014225939879625393e+00 2.848217395171670496e+00
